ASIN,Price,Operating System,Processor_Cleaned,GPU_Model,Graphics_Size,Model,G3d_mark,G2d_mark,GPU_Tdp,Category,Screen_Size_Inch,Battery_Value,Weight_KG,Memory Technology,Cores,Cpu_mark,Thread_mark,CPU_Tdp,Socket,Storage,Memory,Brand,Memory_speed
B0C3HTXBWP,110590.0,Windows 11 Home,Intel Core i7-13700HX,RTX 4050,6 GB,GeForce RTX 4050 Laptop GPU,14471.0,627.0,115.0,Mobile,16.0,90.0,2.6,DDR 5,16,33968,3879,55.0,FCBGA1964,1024,16,Acer,4800
B0D45THCGJ,54990.0,Windows 11 Home,Intel Core i5-12450H,RTX 2050,4 GB,GeForce RTX 2050,7662.0,467.0,45.0,Mobile,15.6,50.0,2.1,DDR4 SDRAM,8,17127,3394,45.0,FCBGA1744,512,16,Acer,2400
B0CSK7VYT4,33699.0,Windows 11 Home,Intel Core i3-N305,,,,,,,,14.0,40.0,1.54,LPDDR5,8,10095,2227,15.0,FCBGA1264,512,8,Acer,5500
B0C3CKFMK8,64990.0,Windows 11 Home,Intel Core i5-13500H,,,,,,,,14.0,65.0,1.25,LPDDR5,12,22923,3569,45.0,Unknown,512,16,Acer,5500
B0CJJVT8M5,20790.0,Chrome OS,Intel Celeron N4500,,,,,,,,11.6,50.0,1.45,DDR4 SDRAM,2,1976,1376,6.0,FCBGA1338,128,8,Acer,2400
B0CXPXT4XD,196990.0,Windows 11 Home,Intel Core i9-14900HX,RTX 4070,8 GB,GeForce RTX 4070 Laptop GPU,19651.0,780.0,115.0,Mobile,16.0,90.0,2.65,DDR 5,24,46698,4333,55.0,FCBGA1964,1024,16,Acer,4800
B0B42RSQWR,43990.0,Windows 11 Home,Intel Core i5-1235U,,,,,,,,14.0,45.6,1.45,DDR4 SDRAM,10,13416,3222,15.0,FCBGA1744,512,8,Acer,2400
B0BWNJS81C,66104.0,Windows 11 Home,AMD Ryzen 5 7535HS,RTX 3050,4 GB,GeForce RTX 3050 4GB Laptop GPU,6884.0,408.0,80.0,Mobile,15.6,57.0,2.1,DDR 5,6,18387,3178,35.0,FP7,512,8,Acer,4800
B0CQP1R949,61530.0,Windows 11 Home,Intel Core i5-13420H,RTX 2050,4 GB,GeForce RTX 2050,7662.0,467.0,45.0,Mobile,15.6,57.0,2.1,DDR 5,8,18809,3470,45.0,FCBGA1744,512,16,Acer,4800
B0D45T32HD,53990.0,Windows 11 Home,Intel Core i5-12450H,RTX 2050,4 GB,GeForce RTX 2050,7662.0,467.0,45.0,Mobile,15.6,50.0,2.1,DDR4 SDRAM,8,17127,3394,45.0,FCBGA1744,512,8,Acer,2400
B0D4Z8WF34,36999.0,Windows 11 Home,AMD Ryzen 5 5500U,,,,,,,,15.6,36.0,1.59,DDR4 SDRAM,6,13047,2442,15.0,FP6,512,16,Acer,2400
B0D4Z5Z8B5,41999.0,Windows 11 Home,Intel Core i5-1235U,,,,,,,,15.6,36.0,1.59,DDR4 SDRAM,10,13416,3222,15.0,FCBGA1744,512,8,Acer,2400
B0B3X2CPXD,45990.0,Windows 11 Home,Intel Core i5-1235U,,,,,,,,14.0,45.6,1.45,DDR4 SDRAM,10,13416,3222,15.0,FCBGA1744,512,16,Acer,2400
B0D9C2PVN4,82500.0,Windows 11 Home,Intel Core Ultra 5 125H,,,,,,,,14.0,65.0,1.32,LPDDR5X,14,22417,3571,28.0,FCBGA2049,512,16,Acer,6400
B0D4Z93QBW,43990.0,Windows 11 Home,AMD Ryzen 7 5700U,,,,,,,,15.6,36.0,1.59,DDR4 SDRAM,8,15852,2592,15.0,FP6,512,16,Acer,2400
B0CH9VN5KB,55990.0,Windows 11 Home,Intel Core i5-13420H,RTX 2050,4 GB,GeForce RTX 2050,7662.0,467.0,45.0,Mobile,15.6,50.0,1.78,DDR4 SDRAM,8,18809,3470,45.0,FCBGA1744,512,8,Acer,2400
B0B3XSR6RH,48307.0,Windows 11 Home,Intel Core i5-1135G7,,,,,,,,14.0,48.0,1.6,DDR4 SDRAM,4,9802,2687,15.0,BGA1526,512,16,Acer,2400
B0CCRV54Y7,154990.0,Windows 11 Home,Intel Core i7-13700HX,RTX 4060,8 GB,GeForce RTX 4060 Laptop GPU,17703.0,735.0,115.0,Mobile,16.0,90.0,2.7,DDR 5,16,33968,3879,55.0,FCBGA1964,512,16,Acer,4800
B0D45TZ39G,59980.0,Windows 11 Home,Intel Core i5-12450H,RTX 3050,4 GB,GeForce RTX 3050 4GB Laptop GPU,6884.0,408.0,80.0,Mobile,15.6,50.0,2.1,DDR4 SDRAM,8,17127,3394,45.0,FCBGA1744,512,16,Acer,2400
B0C5D32X14,55623.0,Windows 11 Home,Intel Core i5-1335U,,,,,,,,15.6,50.0,1.75,LPDDR5,10,15994,3523,15.0,FCBGA1744,512,16,Acer,5500
B0D4Z8TBXC,45990.0,Windows 11 Home,Intel Core i5-1235U,,,,,,,,15.6,36.0,1.59,DDR4 SDRAM,10,13416,3222,15.0,FCBGA1744,512,8,Acer,2400
B0CHW3HH5T,28500.0,Windows 11 Home,Intel Core i3-1115G4,,,,,,,,14.0,45.5,1.49,DDR4 SDRAM,2,6081,2637,15.0,FCBGA1449,256,8,Acer,2400
B0B646J7WQ,34990.0,Windows 11 Home,Intel Celeron N4500,,,,,,,,14.0,38.0,1.3,LPDDR4X,2,1976,1376,6.0,FCBGA1338,256,8,Acer,4266
B0D1GCRCXT,62990.0,Windows 11 Home,AMD Ryzen 5 7535HS,RTX 2050,4 GB,GeForce RTX 2050,7662.0,467.0,45.0,Mobile,15.6,57.0,2.1,DDR 5,6,18387,3178,35.0,FP7,512,8,Acer,4800
B0D2D93HY2,246990.0,Windows 11 Home,Intel Core i9-14900HX,RTX 4080,12 GB,GeForce RTX 4080 Laptop GPU,25482.0,959.0,150.0,Mobile,16.0,90.0,2.65,DDR 5,24,46698,4333,55.0,FCBGA1964,1024,32,Acer,4800
B0B641PR4X,34990.0,Windows 11 Home,Intel Celeron N4500,,,,,,,,14.0,38.0,1.3,LPDDR4X,2,1976,1376,6.0,FCBGA1338,256,8,Acer,4266
B0CYHGB3KJ,94990.0,Windows 11 Home,Intel Core Ultra 7 155H,,,,,,,,14.0,65.0,1.3,LPDDR5X,16,24956,3548,28.0,Unknown,1024,16,Acer,6400
B0CHWDM6FY,23499.0,Windows 11 Home,Intel Core i3-N305,,,,,,,,15.6,40.0,1.54,LPDDR5,8,10095,2227,15.0,FCBGA1264,512,8,Acer,5500
B0C5MY2WB5,70500.0,Windows 11 Home,Intel Core i5-12450H,RTX 3050,4 GB,GeForce RTX 3050 4GB Laptop GPU,6884.0,408.0,80.0,Mobile,15.6,57.5,2.6,DDR4 SDRAM,8,17127,3394,45.0,FCBGA1744,512,16,Acer,2400
B09X7CZW6C,34990.0,Windows 11 Home,Intel Celeron N4500,,,,,,,,14.0,38.0,1.3,LPDDR4X,2,1976,1376,6.0,FCBGA1338,512,8,Acer,4266
B0C5D2PTT1,51990.0,Windows 11 Home,Intel Core i5-1335U,,,,,,,,15.6,50.0,1.75,LPDDR5,10,15994,3523,15.0,FCBGA1744,512,8,Acer,5500
B0BZRQ2FF2,31200.0,Windows 11 Home,AMD Ryzen 3 7320U,,,,,,,,15.6,50.0,1.78,LPDDR5,4,9001,2417,15.0,FP7,256,8,Acer,5500
B096XG4KCC,46990.0,Windows 11 Home,Intel Core i5-1135G7,,,,,,,,14.0,56.0,1.41,DDR4 SDRAM,4,9802,2687,15.0,BGA1526,512,16,Acer,2400
B0D9NZLBZ7,60890.0,Windows 11 Home,Intel Core i5-1135G7,,,,,,,,14.0,48.0,1.6,DDR4 SDRAM,4,9802,2687,15.0,BGA1526,512,16,Acer,2400
B0D9DC4WF4,60780.0,Windows 11 Home,Intel Core i5-1135G7,,,,,,,,14.0,48.0,1.6,DDR4 SDRAM,4,9802,2687,15.0,BGA1526,512,16,Acer,2400
B0D7ZZBBGP,40099.0,Windows 11 Home,AMD Ryzen 5 5500U,,,,,,,,15.6,36.0,1.59,DDR4 SDRAM,6,13047,2442,15.0,FP6,1024,16,Acer,2400
B0D4Z8ZGV2,41500.0,Windows 11 Home,AMD Ryzen 5 5500U,,,,,,,,15.6,36.0,1.59,DDR4 SDRAM,6,13047,2442,15.0,FP6,512,16,Acer,2400
B0CJK21N6B,37380.0,"Windows 11 Home Single Language, English",AMD Ryzen 3 7320U,,,,,,,,15.6,41.0,1.63,LPDDR5,4,9001,2417,15.0,FP7,512,8,Dell,5500
B0CJK21N6B,37380.0,"Windows 11 Home Single Language, English",Intel Core Ultra 5 125H,,,,,,,,13.3,64.0,1.24,LPDDR5X,14,22417,3571,28.0,FCBGA2049,512,16,Dell,6400
B0CJK111K3,70690.0,"Windows 11 Home Single Language, English",Intel Core i7-1355U,,,,,,,,15.6,54.0,1.62,DDR4,10,15054,3557,15.0,FCBGA1744,512,16,Dell,2666
B0CSG4G18G,48438.0,"Windows 11 Home Single Language, English",Intel Core i5-1235U,,,,,,,,15.6,41.0,1.65,DDR4,10,13416,3222,15.0,FCBGA1744,512,8,Dell,2666
B0CCSMVFWS,49062.0,"Windows 11 Home Single Language, English",Intel Core i5-1335U,,,,,,,,15.6,41.0,1.62,DDR4,10,15994,3523,15.0,FCBGA1744,512,8,Dell,2666
B0D6BJC7FT,81609.0,"Windows 11 Home Single Language, English",Intel Core i7-1360P,,,,,,,,14.0,54.0,1.531,LPDDR5,12,19379,3583,28.0,FCBGA1744,1024,16,Dell,4800
B0C1Z88WWP,77390.0,"Windows 11 Home Single Language, English",Intel Core i5-1335U,,,,,,,,14.0,54.0,1.531,LPDDR5,10,15994,3523,15.0,FCBGA1744,512,8,Dell,4800
